ID,Description,Unit of Measure,Data Type ,Details,AC Polyphase Meter,AC Meter,Unspecified,Comments
0,UTC Time,milliseconds ,int-64,Since 1970/1/1 00:00 UTC,M,M,M,
1,RMS Voltage Phase A,Volts,float-64,Average,M,M,O,Used as system voltage on split phase systems
2,RMS Current Phase A,Amps,float-64,Average,M,M,O,
3,RMS Voltage Phase B,Volts,float-64,Average,M,O,O,
4,RMS Current Phase B,Amps,float-64,Average,M,O,O,
5,RMS Voltage Phase C,Volts,float-64,Average,M,O,O,
6,RMS Current Phase C,Amps,float-64,Average,M,O,O,
7,RMS Current Neutral,Amps,float-64,Average,O,O,O,
8,Watts Delivered Phase A,Watts,float-64,,M,M,O,
9,Watts Received Phase A,Watts,float-64,,M,M,O,
10,VAR Delivered Phase A,Volt-Ampere Reactive,float-64,,M,M,O,
11,VAR Received Phase A,Volt-Ampere Reactive,float-64,,M,M,O,
12,VA Q1 Phase A,Volt-Ampere,float-64,,M,M,O,
13,VA Q2 Phase A,Volt-Ampere,float-64,,M,M,O,
14,VA Q3 Phase A,Volt-Ampere,float-64,,M,M,O,
15,VA Q4 Phase A,Volt-Ampere,float-64,,M,M,O,
16,Watts Delivered Phase B,Watts,float-64,,M,O,O,
17,Watts Received Phase B,Watts,float-64,,M,O,O,
18,VBR Delivered Phase B,Volt-Ampere Reactive,float-64,,M,O,O,
19,VBR Received Phase B,Volt-Ampere Reactive,float-64,,M,O,O,
20,VB Q1 Phase B,Volt-Ampere,float-64,,M,O,O,
21,VB Q2 Phase B,Volt-Ampere,float-64,,M,O,O,
22,VB Q3 Phase B,Volt-Ampere,float-64,,M,O,O,
23,VB Q4 Phase B,Volt-Ampere,float-64,,M,O,O,
24,Watts Delivered Phase C,Watts,float-64,,M,O,O,
25,Watts Received Phase C,Watts,float-64,,M,O,O,
26,VCR Delivered Phase C,Volt-Ampere Reactive,float-64,,M,O,O,
27,VCR Received Phase C,Volt-Ampere Reactive,float-64,,M,O,O,
28,VC Q1 Phase C,Volt-Ampere,float-64,,M,O,O,
29,VC Q2 Phase C,Volt-Ampere,float-64,,M,O,O,
30,VC Q3 Phase C,Volt-Ampere,float-64,,M,O,O,
31,VC Q4 Phase C,Volt-Ampere,float-64,,M,O,O,
32,Watts Delivered Phase System,Watts,float-64,,M,O,O,
33,Watts Received Phase System,Watts,float-64,,M,O,O,
34,VAR Delivered Phase System,Volt-Ampere Reactive,float-64,,M,O,O,
35,VAR Received Phase System,Volt-Ampere Reactive,float-64,,M,O,O,
36,VA Q1 Phase System,Volt-Ampere,float-64,,M,O,O,
37,VA Q2 Phase System,Volt-Ampere,float-64,,M,O,O,
38,VA Q3 Phase System,Volt-Ampere,float-64,,M,O,O,
39,VA Q4 Phase System,Volt-Ampere,float-64,,M,O,O,
40,Phase A Voltage Angle,Degrees,float-32,,O,O,O,
41,Phase A Current Angle,Degrees,float-33,,O,O,O,
42,Phase A Power Factor,Unitless Ratio,float-34,,O,O,O,
43,Phase A Power Factor Angle,Degrees,float-35,,O,O,O,
44,THD Phase A Voltage,Unitless Ratio,float-36,,O,O,O,
45,THD Phase A Current,Unitless Ratio,float-37,,O,O,O,
46,Phase B Voltage Angle,Degrees,float-32,,O,O,O,
47,Phase B Current Angle,Degrees,float-33,,O,O,O,
48,Phase B Power Factor,Unitless Ratio,float-34,,O,O,O,
49,Phase B Power Factor Angle,Degrees,float-35,,O,O,O,
50,THD Phase B Voltage,Unitless Ratio,float-36,,O,O,O,
51,THD Phase B Current,Unitless Ratio,float-37,,O,O,O,
52,Phase C Voltage Angle,Degrees,float-32,,O,O,O,
53,Phase C Current Angle,Degrees,float-33,,O,O,O,
54,Phase C Power Factor,Unitless Ratio,float-34,,O,O,O,
55,Phase C Power Factor Angle,Degrees,float-35,,O,O,O,
56,THD Phase C Voltage,Unitless Ratio,float-36,,O,O,O,
57,THD Phase C Current,Unitless Ratio,float-37,,O,O,O,
